BASE_CASE_15_PROP_PERMX.GRDECL,BASE_CASE_16_PROP_PERMX.GRDECL,BASE_CASE_17_PROP_PERMX.GRDECL,BASE_CASE_18_PROP_PERMX.GRDECL,BASE_CASE_19_PROP_PERMX.GRDECL
1.08082,1.08082,1.08082,1.08082,1.08082
1.65742,1.65742,1.65742,1.65742,1.65742
2.57248,2.57248,2.57248,2.57248,2.57248
2.42052,2.42052,2.42052,2.42052,2.42052
3.77666,3.77666,3.77666,3.77666,3.77666
5.54822,5.54822,5.54822,5.54822,5.54822
36.6562,36.6562,36.6562,36.6562,36.6562
19.207,19.207,19.207,19.207,19.207
33.0737,33.0737,33.0737,33.0737,33.0737
15.5357,15.5357,15.5357,15.5357,15.5357
16.4855,16.4855,16.4855,16.4855,16.4855
19.4746,19.4746,19.4746,19.4746,19.4746
13.9274,13.9274,13.9274,13.9274,13.9274
14.025,14.025,14.025,14.025,14.025
14.3811,14.3811,14.3811,14.3811,14.3811
12.9409,12.9409,12.9409,12.9409,12.9409
9.05492,9.05492,9.05492,9.05492,9.05492
23.3852,23.3852,23.3852,23.3852,23.3852
20.8467,20.8467,20.8467,20.8467,20.8467
5.88487,5.88487,5.88487,5.88487,5.88487
5.922,5.922,5.922,5.922,5.922
5.16735,5.16735,5.16735,5.16735,5.16735
3.3945,3.3945,3.3945,3.3945,3.3945
2.97913,2.97913,2.97913,2.97913,2.97913
3.54998,3.54998,3.54998,3.54998,3.54998
3.81355,3.81355,3.81355,3.81355,3.81355
5.19367,5.19367,5.19367,5.19367,5.19367
8.94438,8.94438,8.94438,8.94438,8.94438
7.32883,7.32883,7.32883,7.32883,7.32883
5.54101,5.54101,5.54101,5.54101,5.54101
19.0649,19.0649,19.0649,19.0649,19.0649
18.0056,18.0056,18.0056,18.0056,18.0056
34.4472,34.4472,34.4472,34.4472,34.4472
14.4637,14.4637,14.4637,14.4637,14.4637
24.3665,24.3665,24.3665,24.3665,24.3665
34.3652,34.3652,34.3652,34.3652,34.3652
14.6886,14.6886,14.6886,14.6886,14.6886
16.7449,16.7449,16.7449,16.7449,16.7449
12.087,12.087,12.087,12.087,12.087
7.92364,7.92364,7.92364,7.92364,7.92364
5.35577,5.35577,5.35577,5.35577,5.35577
8.74438,8.74438,8.74438,8.74438,8.74438
8.81174,8.81174,8.81174,8.81174,8.81174
7.8661,7.8661,7.8661,7.8661,7.8661
6.90586,6.90586,6.90586,6.90586,6.90586
5.58986,5.58986,5.58986,5.58986,5.58986
5.45926,5.45926,5.45926,5.45926,5.45926
5.33748,5.33748,5.33748,5.33748,5.33748
2.31359,2.31359,2.31359,2.31359,2.31359
11.6847,11.6847,11.6847,11.6847,11.6847
12.811,12.811,12.811,12.811,12.811
6.55137,6.55137,6.55137,6.55137,6.55137
5.62721,5.62721,5.62721,5.62721,5.62721
4.77261,4.77261,4.77261,4.77261,4.77261
17.4399,17.4399,17.4399,17.4399,17.4399
33.8078,33.8078,33.8078,33.8078,33.8078
33.7526,33.7526,33.7526,33.7526,33.7526
18.1595,18.1595,18.1595,18.1595,18.1595
33.3732,33.3732,33.3732,33.3732,33.3732
18.5727,18.5727,18.5727,18.5727,18.5727
25.7843,25.7843,25.7843,25.7843,25.7843
25.6765,25.6765,25.6765,25.6765,25.6765
13.2646,13.2646,13.2646,13.2646,13.2646
5.90909,5.90909,5.90909,5.90909,5.90909
6.07756,6.07756,6.07756,6.07756,6.07756
8.01807,8.01807,8.01807,8.01807,8.01807
6.01237,6.01237,6.01237,6.01237,6.01237
9.35487,9.35487,9.35487,9.35487,9.35487
10.8833,10.8833,10.8833,10.8833,10.8833
5.51549,5.51549,5.51549,5.51549,5.51549
4.76612,4.76612,4.76612,4.76612,4.76612
2.14511,2.14511,2.14511,2.14511,2.14511
3.83661,3.83661,3.83661,3.83661,3.83661
5.13448,5.13448,5.13448,5.13448,5.13448
6.32518,6.32518,6.32518,6.32518,6.32518
4.98121,4.98121,4.98121,4.98121,4.98121
4.90762,4.90762,4.90762,4.90762,4.90762
5.32189,5.32189,5.32189,5.32189,5.32189
50.5777,50.5777,50.5777,50.5777,50.5777
36.3934,36.3934,36.3934,36.3934,36.3934
24.6533,24.6533,24.6533,24.6533,24.6533
31.6894,31.6894,31.6894,31.6894,31.6894
25.9757,25.9757,25.9757,25.9757,25.9757
32.1593,32.1593,32.1593,32.1593,32.1593
19.914,19.914,19.914,19.914,19.914
26.613,26.613,26.613,26.613,26.613
28.9061,28.9061,28.9061,28.9061,28.9061
18.6641,18.6641,18.6641,18.6641,18.6641
11.7637,11.7637,11.7637,11.7637,11.7637
9.19897,9.19897,9.19897,9.19897,9.19897
9.26665,9.26665,9.26665,9.26665,9.26665
11.9238,11.9238,11.9238,11.9238,11.9238
10.3303,10.3303,10.3303,10.3303,10.3303
14.458,14.458,14.458,14.458,14.458
8.65633,8.65633,8.65633,8.65633,8.65633
5.6275,5.6275,5.6275,5.6275,5.6275
5.87413,5.87413,5.87413,5.87413,5.87413
4.14883,4.14883,4.14883,4.14883,4.14883
2.65052,2.65052,2.65052,2.65052,2.65052
1.69831,1.69831,1.69831,1.69831,1.69831
4.58548,4.58548,4.58548,4.58548,4.58548
6.8569,6.8569,6.8569,6.8569,6.8569
88.3414,88.3414,88.3414,88.3414,88.3414
34.6713,34.6713,34.6713,34.6713,34.6713
14.4415,14.4415,14.4415,14.4415,14.4415
20.9331,20.9331,20.9331,20.9331,20.9331
25.7002,25.7002,25.7002,25.7002,25.7002
22.3851,22.3851,22.3851,22.3851,22.3851
25.28,25.28,25.28,25.28,25.28
17.9593,17.9593,17.9593,17.9593,17.9593
21.1432,21.1432,21.1432,21.1432,21.1432
33.865,33.865,33.865,33.865,33.865
14.0191,14.0191,14.0191,14.0191,14.0191
13.1064,13.1064,13.1064,13.1064,13.1064
25.6211,25.6211,25.6211,25.6211,25.6211
13.8332,13.8332,13.8332,13.8332,13.8332
15.813,15.813,15.813,15.813,15.813
14.813,14.813,14.813,14.813,14.813
8.89376,8.89376,8.89376,8.89376,8.89376
8.99347,8.99347,8.99347,8.99347,8.99347
8.27959,8.27959,8.27959,8.27959,8.27959
5.07602,5.07602,5.07602,5.07602,5.07602
4.01641,4.01641,4.01641,4.01641,4.01641
6.03901,6.03901,6.03901,6.03901,6.03901
5.53241,5.53241,5.53241,5.53241,5.53241
9.14943,9.14943,9.14943,9.14943,9.14943
34.2663,34.2663,34.2663,34.2663,34.2663
14.1088,14.1088,14.1088,14.1088,14.1088
6.5451,6.5451,6.5451,6.5451,6.5451
9.09005,9.09005,9.09005,9.09005,9.09005
5.43799,5.43799,5.43799,5.43799,5.43799
9.18555,9.18555,9.18555,9.18555,9.18555
12.2165,12.2165,12.2165,12.2165,12.2165
14.6988,14.6988,14.6988,14.6988,14.6988
9.29357,9.29357,9.29357,9.29357,9.29357
31.377,31.377,31.377,31.377,31.377
42.1276,42.1276,42.1276,42.1276,42.1276
26.4803,26.4803,26.4803,26.4803,26.4803
25.2973,25.2973,25.2973,25.2973,25.2973
18.0821,18.0821,18.0821,18.0821,18.0821
19.4785,19.4785,19.4785,19.4785,19.4785
37.7546,37.7546,37.7546,37.7546,37.7546
24.7823,24.7823,24.7823,24.7823,24.7823
13.1297,13.1297,13.1297,13.1297,13.1297
13.4487,13.4487,13.4487,13.4487,13.4487
8.79385,8.79385,8.79385,8.79385,8.79385
5.67358,5.67358,5.67358,5.67358,5.67358
6.57703,6.57703,6.57703,6.57703,6.57703
5.5061,5.5061,5.5061,5.5061,5.5061
10.9908,10.9908,10.9908,10.9908,10.9908
31.6149,31.6149,31.6149,31.6149,31.6149
7.04304,7.04304,7.04304,7.04304,7.04304
5.45527,5.45527,5.45527,5.45527,5.45527
9.05085,9.05085,9.05085,9.05085,9.05085
5.97212,5.97212,5.97212,5.97212,5.97212
5.32248,5.32248,5.32248,5.32248,5.32248
8.86977,8.86977,8.86977,8.86977,8.86977
12.0969,12.0969,12.0969,12.0969,12.0969
13.7978,13.7978,13.7978,13.7978,13.7978
17.7071,17.7071,17.7071,17.7071,17.7071
25.2382,25.2382,25.2382,25.2382,25.2382
35.8112,35.8112,35.8112,35.8112,35.8112
31.6772,31.6772,31.6772,31.6772,31.6772
14.1278,14.1278,14.1278,14.1278,14.1278
14.0367,14.0367,14.0367,14.0367,14.0367
18.2047,18.2047,18.2047,18.2047,18.2047
19.9856,19.9856,19.9856,19.9856,19.9856
14.0029,14.0029,14.0029,14.0029,14.0029
11.9023,11.9023,11.9023,11.9023,11.9023
8.94292,8.94292,8.94292,8.94292,8.94292
6.91086,6.91086,6.91086,6.91086,6.91086
5.8066,5.8066,5.8066,5.8066,5.8066
5.57121,5.57121,5.57121,5.57121,5.57121
11.9435,11.9435,11.9435,11.9435,11.9435
22.9176,22.9176,22.9176,22.9176,22.9176
11.8789,11.8789,11.8789,11.8789,11.8789
6.73963,6.73963,6.73963,6.73963,6.73963
4.91114,4.91114,4.91114,4.91114,4.91114
6.00355,6.00355,6.00355,6.00355,6.00355
7.49163,7.49163,7.49163,7.49163,7.49163
6.74351,6.74351,6.74351,6.74351,6.74351
14.2011,14.2011,14.2011,14.2011,14.2011
9.33557,9.33557,9.33557,9.33557,9.33557
14.9267,14.9267,14.9267,14.9267,14.9267
27.8587,27.8587,27.8587,27.8587,27.8587
36.7496,36.7496,36.7496,36.7496,36.7496
32.7162,32.7162,32.7162,32.7162,32.7162
22.1002,22.1002,22.1002,22.1002,22.1002
14.7096,14.7096,14.7096,14.7096,14.7096
15.796,15.796,15.796,15.796,15.796
25.3827,25.3827,25.3827,25.3827,25.3827
31.6073,31.6073,31.6073,31.6073,31.6073
9.4088,9.4088,9.4088,9.4088,9.4088
13.7473,13.7473,13.7473,13.7473,13.7473
14.3496,14.3496,14.3496,14.3496,14.3496
18.625,18.625,18.625,18.625,18.625
16.8232,16.8232,16.8232,16.8232,16.8232
23.3319,23.3319,23.3319,23.3319,23.3319
18.1149,18.1149,18.1149,18.1149,18.1149
6.49549,6.49549,6.49549,6.49549,6.49549
4.91097,4.91097,4.91097,4.91097,4.91097
4.93756,4.93756,4.93756,4.93756,4.93756
7.02388,7.02388,7.02388,7.02388,7.02388
5.88386,5.88386,5.88386,5.88386,5.88386
11.9829,11.9829,11.9829,11.9829,11.9829
13.7099,13.7099,13.7099,13.7099,13.7099
14.2562,14.2562,14.2562,14.2562,14.2562
19.3235,19.3235,19.3235,19.3235,19.3235
27.2569,27.2569,27.2569,27.2569,27.2569
36.3755,36.3755,36.3755,36.3755,36.3755
19.6597,19.6597,19.6597,19.6597,19.6597
14.2632,14.2632,14.2632,14.2632,14.2632
18.1094,18.1094,18.1094,18.1094,18.1094
12.0161,12.0161,12.0161,12.0161,12.0161
33.5964,33.5964,33.5964,33.5964,33.5964
16.0126,16.0126,16.0126,16.0126,16.0126
11.9787,11.9787,11.9787,11.9787,11.9787
14.3916,14.3916,14.3916,14.3916,14.3916
15.4447,15.4447,15.4447,15.4447,15.4447
13.745,13.745,13.745,13.745,13.745
14.4661,14.4661,14.4661,14.4661,14.4661
26.7289,26.7289,26.7289,26.7289,26.7289
32.3534,32.3534,32.3534,32.3534,32.3534
14.9822,14.9822,14.9822,14.9822,14.9822
11.9711,11.9711,11.9711,11.9711,11.9711
11.9147,11.9147,11.9147,11.9147,11.9147
9.39714,9.39714,9.39714,9.39714,9.39714
5.72033,5.72033,5.72033,5.72033,5.72033
18.9768,18.9768,18.9768,18.9768,18.9768
31.6312,31.6312,31.6312,31.6312,31.6312
36.612,36.612,36.612,36.612,36.612
33.8854,33.8854,33.8854,33.8854,33.8854
34.066,34.066,34.066,34.066,34.066
31.0362,31.0362,31.0362,31.0362,31.0362
14.471,14.471,14.471,14.471,14.471
8.9727,8.9727,8.9727,8.9727,8.9727
9.11303,9.11303,9.11303,9.11303,9.11303
19.1963,19.1963,19.1963,19.1963,19.1963
14.8418,14.8418,14.8418,14.8418,14.8418
14.2554,14.2554,14.2554,14.2554,14.2554
15.5172,15.5172,15.5172,15.5172,15.5172
18.0841,18.0841,18.0841,18.0841,18.0841
12.1986,12.1986,12.1986,12.1986,12.1986
12.7436,12.7436,12.7436,12.7436,12.7436
8.90215,8.90215,8.90215,8.90215,8.90215
25.3071,25.3071,25.3071,25.3071,25.3071
30.4012,30.4012,30.4012,30.4012,30.4012
29.0499,29.0499,29.0499,29.0499,29.0499
14.0201,14.0201,14.0201,14.0201,14.0201
8.78388,8.78388,8.78388,8.78388,8.78388
11.9171,11.9171,11.9171,11.9171,11.9171
8.79211,8.79211,8.79211,8.79211,8.79211
14.3979,14.3979,14.3979,14.3979,14.3979
36.1692,36.1692,36.1692,36.1692,36.1692
31.3796,31.3796,31.3796,31.3796,31.3796
13.8245,13.8245,13.8245,13.8245,13.8245
9.55381,9.55381,9.55381,9.55381,9.55381
14.1291,14.1291,14.1291,14.1291,14.1291
11.0394,11.0394,11.0394,11.0394,11.0394
8.71531,8.71531,8.71531,8.71531,8.71531
13.8341,13.8341,13.8341,13.8341,13.8341
14.2311,14.2311,14.2311,14.2311,14.2311
12.0421,12.0421,12.0421,12.0421,12.0421
15.6186,15.6186,15.6186,15.6186,15.6186
11.8995,11.8995,11.8995,11.8995,11.8995
15.3379,15.3379,15.3379,15.3379,15.3379
16.3892,16.3892,16.3892,16.3892,16.3892
13.8121,13.8121,13.8121,13.8121,13.8121
25.1161,25.1161,25.1161,25.1161,25.1161
65.0369,65.0369,65.0369,65.0369,65.0369
33.8561,33.8561,33.8561,33.8561,33.8561
26.2292,26.2292,26.2292,26.2292,26.2292
15.8405,15.8405,15.8405,15.8405,15.8405
16.884,16.884,16.884,16.884,16.884
24.9085,24.9085,24.9085,24.9085,24.9085
13.8811,13.8811,13.8811,13.8811,13.8811
9.42503,9.42503,9.42503,9.42503,9.42503
15.5608,15.5608,15.5608,15.5608,15.5608
19.2785,19.2785,19.2785,19.2785,19.2785
7.11513,7.11513,7.11513,7.11513,7.11513
5.25261,5.25261,5.25261,5.25261,5.25261
6.62854,6.62854,6.62854,6.62854,6.62854
7.36889,7.36889,7.36889,7.36889,7.36889
7.41506,7.41506,7.41506,7.41506,7.41506
11.9912,11.9912,11.9912,11.9912,11.9912
11.4752,11.4752,11.4752,11.4752,11.4752
14.3648,14.3648,14.3648,14.3648,14.3648
18.1181,18.1181,18.1181,18.1181,18.1181
12.7817,12.7817,12.7817,12.7817,12.7817
7.59323,7.59323,7.59323,7.59323,7.59323
8.89577,8.89577,8.89577,8.89577,8.89577
9.32101,9.32101,9.32101,9.32101,9.32101
12.0315,12.0315,12.0315,12.0315,12.0315
14.5134,14.5134,14.5134,14.5134,14.5134
48.725,48.725,48.725,48.725,48.725
26.5431,26.5431,26.5431,26.5431,26.5431
14.9212,14.9212,14.9212,14.9212,14.9212
36.2677,36.2677,36.2677,36.2677,36.2677
25.4802,25.4802,25.4802,25.4802,25.4802
32.1492,32.1492,32.1492,32.1492,32.1492
14.2002,14.2002,14.2002,14.2002,14.2002
19.4501,19.4501,19.4501,19.4501,19.4501
13.8124,13.8124,13.8124,13.8124,13.8124
5.04203,5.04203,5.04203,5.04203,5.04203
5.50143,5.50143,5.50143,5.50143,5.50143
5.02076,5.02076,5.02076,5.02076,5.02076
4.76659,4.76659,4.76659,4.76659,4.76659
3.82528,3.82528,3.82528,3.82528,3.82528
9.05036,9.05036,9.05036,9.05036,9.05036
13.922,13.922,13.922,13.922,13.922
11.8834,11.8834,11.8834,11.8834,11.8834
16.8058,16.8058,16.8058,16.8058,16.8058
11.0579,11.0579,11.0579,11.0579,11.0579
11.6494,11.6494,11.6494,11.6494,11.6494
10.0783,10.0783,10.0783,10.0783,10.0783
13.2829,13.2829,13.2829,13.2829,13.2829
12.1096,12.1096,12.1096,12.1096,12.1096
13.8855,13.8855,13.8855,13.8855,13.8855
56.426,56.426,56.426,56.426,56.426
37.4682,37.4682,37.4682,37.4682,37.4682
31.7181,31.7181,31.7181,31.7181,31.7181
25.7036,25.7036,25.7036,25.7036,25.7036
31.6229,31.6229,31.6229,31.6229,31.6229
32.6397,32.6397,32.6397,32.6397,32.6397
48.93,48.93,48.93,48.93,48.93
22.6143,22.6143,22.6143,22.6143,22.6143
8.87273,8.87273,8.87273,8.87273,8.87273
5.52106,5.52106,5.52106,5.52106,5.52106
5.54318,5.54318,5.54318,5.54318,5.54318
4.7314,4.7314,4.7314,4.7314,4.7314
8.91396,8.91396,8.91396,8.91396,8.91396
8.5449,8.5449,8.5449,8.5449,8.5449
5.86702,5.86702,5.86702,5.86702,5.86702
8.13024,8.13024,8.13024,8.13024,8.13024
10.1216,10.1216,10.1216,10.1216,10.1216
8.79573,8.79573,8.79573,8.79573,8.79573
9.83223,9.83223,9.83223,9.83223,9.83223
9.20156,9.20156,9.20156,9.20156,9.20156
9.53074,9.53074,9.53074,9.53074,9.53074
13.9537,13.9537,13.9537,13.9537,13.9537
17.1448,17.1448,17.1448,17.1448,17.1448
27.9914,27.9914,27.9914,27.9914,27.9914
35.7288,35.7288,35.7288,35.7288,35.7288
21.9926,21.9926,21.9926,21.9926,21.9926
32.0554,32.0554,32.0554,32.0554,32.0554
30.8813,30.8813,30.8813,30.8813,30.8813
37.9091,37.9091,37.9091,37.9091,37.9091
37.0457,37.0457,37.0457,37.0457,37.0457
36.0294,36.0294,36.0294,36.0294,36.0294
15.1747,15.1747,15.1747,15.1747,15.1747
12.8112,12.8112,12.8112,12.8112,12.8112
8.4952,8.4952,8.4952,8.4952,8.4952
6.10353,6.10353,6.10353,6.10353,6.10353
7.03445,7.03445,7.03445,7.03445,7.03445
7.64795,7.64795,7.64795,7.64795,7.64795
11.8153,11.8153,11.8153,11.8153,11.8153
8.12202,8.12202,8.12202,8.12202,8.12202
9.08154,9.08154,9.08154,9.08154,9.08154
13.9945,13.9945,13.9945,13.9945,13.9945
7.59829,7.59829,7.59829,7.59829,7.59829
7.8484,7.8484,7.8484,7.8484,7.8484
10.4336,10.4336,10.4336,10.4336,10.4336
5.20721,5.20721,5.20721,5.20721,5.20721
12.0859,12.0859,12.0859,12.0859,12.0859
12.7553,12.7553,12.7553,12.7553,12.7553
12.5938,12.5938,12.5938,12.5938,12.5938
35.5472,35.5472,35.5472,35.5472,35.5472
25.5052,25.5052,25.5052,25.5052,25.5052
25.2732,25.2732,25.2732,25.2732,25.2732
31.2226,31.2226,31.2226,31.2226,31.2226
35.0203,35.0203,35.0203,35.0203,35.0203
34.875,34.875,34.875,34.875,34.875
26.201,26.201,26.201,26.201,26.201
14.8845,14.8845,14.8845,14.8845,14.8845
11.8705,11.8705,11.8705,11.8705,11.8705
13.7958,13.7958,13.7958,13.7958,13.7958
6.16033,6.16033,6.16033,6.16033,6.16033
6.87111,6.87111,6.87111,6.87111,6.87111
6.10142,6.10142,6.10142,6.10142,6.10142
8.07905,8.07905,8.07905,8.07905,8.07905
9.33513,9.33513,9.33513,9.33513,9.33513
13.975,13.975,13.975,13.975,13.975
14.4987,14.4987,14.4987,14.4987,14.4987
15.3299,15.3299,15.3299,15.3299,15.3299
9.03491,9.03491,9.03491,9.03491,9.03491
12.0153,12.0153,12.0153,12.0153,12.0153
9.10224,9.10224,9.10224,9.10224,9.10224
16.8097,16.8097,16.8097,16.8097,16.8097
18.6499,18.6499,18.6499,18.6499,18.6499
19.2273,19.2273,19.2273,19.2273,19.2273
36.7012,36.7012,36.7012,36.7012,36.7012
30.3057,30.3057,30.3057,30.3057,30.3057
14.658,14.658,14.658,14.658,14.658
8.99536,8.99536,8.99536,8.99536,8.99536
13.5646,13.5646,13.5646,13.5646,13.5646
14.3477,14.3477,14.3477,14.3477,14.3477
12.0511,12.0511,12.0511,12.0511,12.0511
16.0703,16.0703,16.0703,16.0703,16.0703
24.5532,24.5532,24.5532,24.5532,24.5532
36.0085,36.0085,36.0085,36.0085,36.0085
61.0782,61.0782,61.0782,61.0782,61.0782
63.8345,63.8345,63.8345,63.8345,63.8345
52.1213,52.1213,52.1213,52.1213,52.1213
68.1103,68.1103,68.1103,68.1103,68.1103
41.9168,41.9168,41.9168,41.9168,41.9168
67.0193,67.0193,67.0193,67.0193,67.0193
189.864,189.864,189.864,189.864,189.864
202.916,202.916,202.916,202.916,202.916
216.437,216.437,216.437,216.437,216.437
155.691,155.691,155.691,155.691,155.691
61.2954,61.2954,61.2954,61.2954,61.2954
75.9872,75.9872,75.9872,75.9872,75.9872
31.4729,31.4729,31.4729,31.4729,31.4729
25.6302,25.6302,25.6302,25.6302,25.6302
25.307,25.307,25.307,25.307,25.307
34.7464,34.7464,34.7464,34.7464,34.7464
26.931,26.931,26.931,26.931,26.931
23.8367,23.8367,23.8367,23.8367,23.8367
11.0151,11.0151,11.0151,11.0151,11.0151
12.0657,12.0657,12.0657,12.0657,12.0657
13.5492,13.5492,13.5492,13.5492,13.5492
12.0845,12.0845,12.0845,12.0845,12.0845
22.1658,22.1658,22.1658,22.1658,22.1658
31.6354,31.6354,31.6354,31.6354,31.6354
75.0994,75.0994,75.0994,75.0994,75.0994
108.269,108.269,108.269,108.269,108.269
71.9605,71.9605,71.9605,71.9605,71.9605
86.0768,86.0768,86.0768,86.0768,86.0768
78.4065,78.4065,78.4065,78.4065,78.4065
95.6894,95.6894,95.6894,95.6894,95.6894
128.336,128.336,128.336,128.336,128.336
186.858,186.858,186.858,186.858,186.858
113.513,113.513,113.513,113.513,113.513
110.12,110.12,110.12,110.12,110.12
68.546,68.546,68.546,68.546,68.546
39.4556,39.4556,39.4556,39.4556,39.4556
24.5654,24.5654,24.5654,24.5654,24.5654
14.3213,14.3213,14.3213,14.3213,14.3213
32.9808,32.9808,32.9808,32.9808,32.9808
36.5835,36.5835,36.5835,36.5835,36.5835
35.2964,35.2964,35.2964,35.2964,35.2964
24.1079,24.1079,24.1079,24.1079,24.1079
25.6704,25.6704,25.6704,25.6704,25.6704
16.4002,16.4002,16.4002,16.4002,16.4002
31.9777,31.9777,31.9777,31.9777,31.9777
36.1404,36.1404,36.1404,36.1404,36.1404
36.9918,36.9918,36.9918,36.9918,36.9918
70.1603,70.1603,70.1603,70.1603,70.1603
47.1956,47.1956,47.1956,47.1956,47.1956
35.3864,35.3864,35.3864,35.3864,35.3864
112.083,112.083,112.083,112.083,112.083
94.0967,94.0967,94.0967,94.0967,94.0967
87.0033,87.0033,87.0033,87.0033,87.0033
47.6828,47.6828,47.6828,47.6828,47.6828
188.913,188.913,188.913,188.913,188.913
171.401,171.401,171.401,171.401,171.401
164.493,164.493,164.493,164.493,164.493
84.2915,84.2915,84.2915,84.2915,84.2915
70.4509,70.4509,70.4509,70.4509,70.4509
31.6272,31.6272,31.6272,31.6272,31.6272
36.7103,36.7103,36.7103,36.7103,36.7103
31.2338,31.2338,31.2338,31.2338,31.2338
49.3864,49.3864,49.3864,49.3864,49.3864
41.9197,41.9197,41.9197,41.9197,41.9197
48.6944,48.6944,48.6944,48.6944,48.6944
45.7163,45.7163,45.7163,45.7163,45.7163
42.0362,42.0362,42.0362,42.0362,42.0362
48.7283,48.7283,48.7283,48.7283,48.7283
41.9465,41.9465,41.9465,41.9465,41.9465
71.416,71.416,71.416,71.416,71.416
49.0248,49.0248,49.0248,49.0248,49.0248
94.4496,94.4496,94.4496,94.4496,94.4496
37.6335,37.6335,37.6335,37.6335,37.6335
35.3665,35.3665,35.3665,35.3665,35.3665
94.3693,94.3693,94.3693,94.3693,94.3693
183.756,183.756,183.756,183.756,183.756
141.764,141.764,141.764,141.764,141.764
159.44,159.44,159.44,159.44,159.44
175.217,175.217,175.217,175.217,175.217
187.186,187.186,187.186,187.186,187.186
174.396,174.396,174.396,174.396,174.396
96.192,96.192,96.192,96.192,96.192
83.5245,83.5245,83.5245,83.5245,83.5245
60.5514,60.5514,60.5514,60.5514,60.5514
35.8829,35.8829,35.8829,35.8829,35.8829
37.4188,37.4188,37.4188,37.4188,37.4188
56.491,56.491,56.491,56.491,56.491
125.624,125.624,125.624,125.624,125.624
123.079,123.079,123.079,123.079,123.079
68.5395,68.5395,68.5395,68.5395,68.5395
50.9867,50.9867,50.9867,50.9867,50.9867
54.0916,54.0916,54.0916,54.0916,54.0916
95.983,95.983,95.983,95.983,95.983
62.1411,62.1411,62.1411,62.1411,62.1411
97.6426,97.6426,97.6426,97.6426,97.6426
74.5034,74.5034,74.5034,74.5034,74.5034
37.7577,37.7577,37.7577,37.7577,37.7577
33.915,33.915,33.915,33.915,33.915
48.6781,48.6781,48.6781,48.6781,48.6781
120.128,120.128,120.128,120.128,120.128
189.569,189.569,189.569,189.569,189.569
85.5838,85.5838,85.5838,85.5838,85.5838
147.852,147.852,147.852,147.852,147.852
191.947,191.947,191.947,191.947,191.947
196.038,196.038,196.038,196.038,196.038
150.581,150.581,150.581,150.581,150.581
112.491,112.491,112.491,112.491,112.491
97.3958,97.3958,97.3958,97.3958,97.3958
36.3678,36.3678,36.3678,36.3678,36.3678
36.713,36.713,36.713,36.713,36.713
122.914,122.914,122.914,122.914,122.914
159.434,159.434,159.434,159.434,159.434
158.389,158.389,158.389,158.389,158.389
94.8876,94.8876,94.8876,94.8876,94.8876
122.939,122.939,122.939,122.939,122.939
85.2429,85.2429,85.2429,85.2429,85.2429
166.529,166.529,166.529,166.529,166.529
83.3571,83.3571,83.3571,83.3571,83.3571
110.565,110.565,110.565,110.565,110.565
26.9879,26.9879,26.9879,26.9879,26.9879
19.039,19.039,19.039,19.039,19.039
85.3464,85.3464,85.3464,85.3464,85.3464
153.843,153.843,153.843,153.843,153.843
